Number of candidates,Mean score,Group,Level
178,4.7,G5,HL
"30,033",4.5,G5,SL
"12,003",4.4,G5,HL
"40,814",4.4,G5,SL
297,5.1,G6,HL
218,4.5,G6,SL
"1,853",4.6,G6,HL
"1,096",4.1,G6,SL
429,4.7,G6,SL
"1,257",4.5,G6,HL
"1,911",4.3,G6,SL
"2,281",5,G6,HL
"1,105",5,G6,SL
"8,534",4.9,G6,HL
"4,718",4.5,G6,SL
16,4.8,G4,SL
"26,881",4.4,G4,HL
"17,021",4.3,G4,SL
"14,693",4.5,G4,HL
"13,706",4.1,G4,SL
901,4.4,G4,HL
"1,075",4.1,G4,SL
868,4.6,G4,HL
794,4,G4,SL
"10,322",4.2,G4,SL
114,4.3,G4,SL
"10,426",4.7,G4,HL
"11,452",4.2,G4,SL
"1,424",4.1,G4,SL
186,4.5,G3,SL
140,4.8,G3,SL
"7,766",4.7,G3,HL
"5,775",4.8,G3,SL
26,5.2,G3,SL
14,5.4,G3,SL
"12,849",5.2,G3,HL
"8,011",4.7,G3,SL
"10,322",4.2,G3,SL
"4,531",5.2,G3,HL
"3,340",4.7,G3,SL
263,5.1,G3,HL
78,5.2,G3,SL
"37,942",4.4,G3,HL
"6,933",4.7,G3,SL
134,5.4,G3,HL
74,5.3,G3,SL
"1,520",4.3,G3,HL
"1,730",4.5,G3,SL
68,5.8,G3,SL
"1,614",4.9,G3,HL
"1,861",4.7,G3,SL
19,5.2,G3,SL
"8,449",4.7,G3,HL
"9,273",4.4,G3,SL
23,5.3,G3,SL
488,4.9,G3,HL
"1,571",4.8,G3,SL
254,5.4,G3,SL
52,5.9,G3,SL
19,5.6,G3,SL
673,4.7,G3,SL
208,4.6,G2,SL
751,5.9,G2,HL
329,5.8,G2,SL
23,5.7,G2,SL
10,5.7,G2,SL
869,6.4,G2,HL
"2,068",6.1,G2,SL
17,6.6,G2,HL
156,5.5,G2,HL
32,4.6,G2,SL
116,6,G2,HL
118,5.5,G2,SL
279,5.1,G2,SL
"11,900",5.7,G2,HL
"2,396",5.9,G2,SL
21,6.5,G2,HL
23,6.2,G2,SL
"2,723",5,G2,SL
"3,539",5.2,G2,HL
"11,364",4.9,G2,SL
840,4.9,G2,SL
"1,279",5.8,G2,HL
"1,619",5.2,G2,SL
50,5.2,G2,SL
484,5.5,G2,HL
703,5.8,G2,SL
129,6.3,G2,HL
93,6.1,G2,SL
657,4.9,G2,SL
216,6,G2,HL
358,4.7,G2,SL
330,4.9,G2,SL
116,6.1,G2,HL
430,5.1,G2,SL
57,5.7,G2,HL
45,5.2,G2,SL
275,4.8,G2,HL
976,4.4,G2,SL
28,5.9,G2,SL
"1,095",5.4,G2,SL
99,5.8,G2,HL
59,5.3,G2,SL
72,6.1,G2,HL
53,5.9,G2,SL
76,5.7,G2,SL
73,6.5,G2,HL
91,6.3,G2,SL
"5,606",5.1,G2,SL
"6,265",5.4,G2,HL
"18,346",5,G2,SL
49,5.6,G2,SL
161,5.7,G2,HL
132,5.2,G2,SL
14,7,G1,SL
11,6.4,G1,HL
30,6.6,G1,SL
127,5,G1,HL
185,5.1,G1,SL
114,5.2,G1,HL
314,5.1,G1,SL
12,6,G1,SL
17,5.9,G1,SL
63,5.2,G1,HL
26,6.2,G1,HL
12,6.3,G1,SL
98,6.3,G1,HL
24,6.3,G1,SL
270,5.7,G1,HL
616,5.7,G1,SL
481,5.5,G1,HL
991,5.5,G1,SL
53,5.2,G1,HL
25,5.1,G1,SL
56,5.4,G1,HL
42,5.5,G1,SL
181,5.8,G1,HL
107,5.9,G1,SL
91,5.2,G1,HL
111,5.2,G1,SL
30,5.3,G1,HL
122,4.6,G1,SL
"14,790",5.1,G1,HL
"9,720",5.2,G1,SL
"41,629",4.7,G1,HL
"7,534",5.1,G1,SL
19,6.7,G1,HL
44,5.2,G1,SL
129,5.4,G1,HL
167,5.5,G1,SL
299,5.3,G1,HL
388,5.6,G1,SL
453,5.4,G1,HL
259,5.2,G1,SL
22,6.6,G1,HL
350,5.5,G1,HL
346,5.5,G1,SL
658,5.2,G1,HL
330,5.2,G1,SL
40,6.6,G1,SL
10,6.4,G1,HL
64,6.3,G1,SL
23,6.2,G1,HL
35,6.1,G1,SL
120,5.6,G1,HL
168,5.6,G1,SL
78,5.5,G1,HL
125,5,G1,SL
52,6.2,G1,HL
52,5.8,G1,SL
172,5,G1,HL
143,5.4,G1,SL
120,5.9,G1,HL
71,5.5,G1,SL
120,6,G1,HL
114,5.9,G1,SL
10,6.4,G1,SL
107,6.1,G1,HL
83,5.8,G1,SL
249,5.7,G1,HL
348,6,G1,SL
33,5.9,G1,HL
429,4.7,G1,SL
28,5.9,G1,HL
84,5.4,G1,SL
45,6.9,G1,HL
49,6.3,G1,HL
421,6.4,G1,SL
36,6.2,G1,HL
83,6,G1,SL
128,5,G1,HL
285,5,G1,SL
21,6,G1,SL
32,5.9,G1,HL
24,5,G1,SL
220,5.5,G1,HL
127,5.6,G1,SL
26,6.9,G1,SL
160,5.6,G1,HL
639,5.3,G1,SL
259,5.5,G1,HL
82,5.5,G1,SL
64,5.3,G1,HL
62,5.1,G1,SL
35,6.1,G1,HL
19,6.5,G1,SL
24,5.4,G1,HL
47,5.4,G1,SL
129,4.8,G1,HL
268,4.8,G1,SL
41,5.7,G1,HL
35,6,G1,SL
25,6.4,G1,HL
29,6.6,G1,SL
12,6,G1,HL
59,5.9,G1,SL
68,6.3,G1,HL
"1,131",5.1,G1,HL
515,4.9,G1,SL
"4,548",4.7,G1,HL
776,4.9,G1,SL
26,5.8,G1,HL
26,5.8,G1,SL
78,5.5,G1,HL
90,5.4,G1,SL
225,5.6,G1,HL
333,5.4,G1,SL
29,6.1,G1,HL
113,6.1,G1,SL
12,5.4,G1,HL
32,4.7,G1,SL
248,5.9,G1,HL
178,5.9,G1,SL
10,6.2,G1,SL
23,5.6,G1,SL
50,5.9,G1,HL
94,5.7,G1,SL
